Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S016,Adeje,6,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S016,Adeje,6,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S017,Adeje,5,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S017,Adeje,11,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S018,Adeje,3,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S018,Adeje,8,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38002,38,20210101_38002_D01_S001,Agulo,2,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38002,38,20210101_38002_D01_S001,Agulo,16,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38002,38,20220101_38002_D01_S001,Agulo,1,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38002,38,20220101_38002_D01_S001,Agulo,17,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38002,38,20230101_38002_D01_S001,Agulo,2,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38002,38,20230101_38002_D01_S001,Agulo,11,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38003,38,20210101_38003_D01_S001,Alajeró,1,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38003,38,20210101_38003_D01_S001,Alajeró,20,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38003,38,20220101_38003_D01_S001,Alajeró,2,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38003,38,20220101_38003_D01_S001,Alajeró,23,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38003,38,20230101_38003_D01_S001,Alajeró,1,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38003,38,20230101_38003_D01_S001,Alajeró,22,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S001,Arafo,5,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S001,Arafo,15,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S002,Arafo,5,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S002,Arafo,11,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S003,Arafo,7,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S003,Arafo,15,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S001,Arafo,6,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S001,Arafo,16,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S002,Arafo,3,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S002,Arafo,11,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S003,Arafo,10,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S003,Arafo,13,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S001,Arafo,5,2023,Santa Cruz de Tenerife,Mujeres
