año,MEDIDAS_CODE,MEDIDAS#es,TERRITORIO_CODE,distrito,seccion,municipio,OBS_VALUE
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D02_S001,02,001, Candelaria,43981
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D02_S002,02,002, Candelaria,49924
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D02_S003,02,003, Candelaria,37218
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D02_S004,02,004, Candelaria,37310
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D02_S005,02,005, Candelaria,66816
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38012_D01_S001,01,001, Fasnia,34743
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38012_D01_S002,01,002, Fasnia,29732
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38013_D01_S001,01,001, Frontera,34775
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38013_D01_S002,01,002, Frontera,32854
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38014_D01_S001,01,001, Fuencaliente de La Palma,28100
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38014_D01_S002,01,002, Fuencaliente de La Palma,24127
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38015_D01_S001,01,001, Garachico,35074
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38015_D01_S002,01,002, Garachico,38955
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38015_D02_S001,02,001, Garachico,30770
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38015_D02_S002,02,002, Garachico,25036
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38016_D01_S001,01,001, Garafía,20676
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S001,01,001, Granadilla de Abona,36715
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S002,01,002, Granadilla de Abona,34971
